Time,Username,Slug,Content
22:13:54,Somebody_LXIX,somebody-lxix,!editcom !total 487/500 (end of stream 11 December)
22:13:55,BotRix,botrix,@Somebody_LXIX The '!total' command was added correctly.
22:13:55,PIKE2C,pike2c,@BigDaddySitch I "think" its a bug that was introduced with an update Paulie pushed out for the subscription page.
22:13:59,botanical_gamer,botanical_gamer,you seen timmy's afk glitch ??
22:14:06,Pr0d1CAL_s0n,pr0d1cal-s0n,Every lobby I been in so far is sweaty. SBMM
22:14:08,TurboWagon007,turbowagon007,I've started most games afk and gain them couple kills 😂
22:14:08,Guardian_Saint9,guardian-saint9,Person is probably sleeping at there desk
22:14:17,tboneguru,tboneguru,or had to poop
22:14:19,Somebody_LXIX,somebody-lxix,2 subs chat!!
22:14:20,SaxeY373,saxey373,i only go afk if the wife comes downstairs after a shower. 😉
22:14:21,brighteyes53,brighteyes53,3 spectators already?  [emote:37225:KEKLEO]
22:14:43,B1GG13SMA11s,b1gg13sma11s,you should have been a stand up guy and tried to turn his Xbox off for him
22:14:45,BigDaddySitch,bigdaddysitch,gotcha, I did see an update was coming..Not sure if it came out yet
22:15:13,PIKE2C,pike2c,@BigDaddySitch yeah paulie pushed an update last night with a bunch of things
22:15:16,tboneguru,tboneguru,loud hot mic lol
22:15:27,Hatch9900,hatch9900,Is there an xp. Glitch auto dropping into new games?
22:15:33,HorneyKhorne,horneykhorne,what up daddy!!
22:15:38,BigDaddySitch,bigdaddysitch,my live version says 8.0.1
22:15:44,xXxScorpio83xXx,xxxscorpio83xxx,haha u said boomer at 31 that cute lol
22:15:47,BigDaddySitch,bigdaddysitch,What's up papa!!
22:15:59,PIKE2C,pike2c,@BigDaddySitch same
22:16:01,HorneyKhorne,horneykhorne,up early AF working
22:16:07,TheHoss330,thehoss330,Loochy why you have to be so boring? Why can't you play DMZ anymore?
22:16:11,instagrator,instagrator,tunnels?
22:16:17,BiGGSiDD,biggsidd,he's under the map I believe
22:16:20,BigDaddySitch,bigdaddysitch,nice! I haven't slept yet LOL
22:16:23,tboneguru,tboneguru,he glitch through the floor?
22:16:24,Titlingbobcat56,titlingbobcat56,yes other side of building
22:16:24,botanical_gamer,botanical_gamer,seems like an underground camper
22:16:26,PIKE2C,pike2c,@Somebody_LXIX looks like we can still delete mod messages [emote:37226:KEKW] They pushed an update so that Mods can't delete staff messages but mods can still delete mod messages [emote:37226:KEKW]
22:16:27,Titlingbobcat56,titlingbobcat56,outside
22:16:28,Johnrod,johnrod,[emote:1730761:emojiCry]
22:16:28,TheHoss330,thehoss330,Stop deleting me troll comments you commies
22:16:41,Jstrings,jstrings,So, I've been working a ton, and haven't downloaded yet... how are we liking it?
22:16:43,Brendo69,brendo69,I think bottom of stairs lol
22:16:45,HorneyKhorne,horneykhorne,i am too old for that shit
22:16:46,Somebody_LXIX,somebody-lxix,Haha I'm glad they left it in lol
22:16:54,brighteyes53,brighteyes53,🤣🤣🤣🤣
22:16:56,TheHoss330,thehoss330,mods woke up and chose violence
22:17:07,Gillette568,gillette568,🤣🤣
22:17:10,Somebody_LXIX,somebody-lxix,Okay goff haha
22:17:17,Gp56rene,gp56rene,He likes Metallica
22:17:18,BigDaddySitch,bigdaddysitch,so am I! LOL
22:17:30,Johnrod,johnrod,Morning
22:17:34,Goffcart24,goffcart24,bro it Wasn't me  @Somebody_LXIX 🤣
22:17:37,HorneyKhorne,horneykhorne,oh I know - going to take you a week to recover
22:17:47,brighteyes53,brighteyes53,Big game bounty??
22:17:55,BigDaddySitch,bigdaddysitch,LOL
22:17:56,Firetalkradio,firetalkradio,big game bounty
22:18:06,Bags_and_juice,bags-and-juice,it's gonna mark yourself
22:18:14,Goffcart24,goffcart24,hell of a mic
22:18:25,tboneguru,tboneguru,he has a mine at top of stairs
22:18:27,B1GG13SMA11s,b1gg13sma11s,XBOX TURN OFF
22:18:32,botanical_gamer,botanical_gamer,camping it out with prox mines
